iter	Passed	Remaining
0	161	160858
1	170	84937
2	179	59499
3	187	46806
4	196	39043
5	204	33862
6	212	30193
7	221	27417
8	229	25292
9	238	23578
10	246	22148
11	255	21017
12	264	20076
13	273	19262
14	281	18499
15	290	17895
16	299	17314
17	308	16831
18	317	16373
19	326	15987
20	335	15641
21	344	15302
22	353	15011
23	362	14742
24	372	14509
25	380	14258
26	389	14047
27	398	13828
28	407	13651
29	416	13454
30	424	13276
31	433	13099
32	441	12933
33	449	12775
34	457	12624
35	466	12493
36	474	12355
37	483	12234
38	491	12112
39	500	12013
40	509	11910
41	518	11817
42	526	11713
43	535	11633
44	543	11533
45	552	11465
46	561	11387
47	570	11312
48	578	11236
49	589	11191
50	599	11154
51	608	11089
52	618	11055
53	628	11007
54	638	10964
55	647	10909
56	656	10855
57	665	10802
58	673	10740
59	682	10693
60	691	10651
61	701	10617
62	711	10575
63	720	10541
64	729	10500
65	738	10453
66	747	10413
67	756	10372
68	767	10350
69	777	10334
70	787	10299
71	795	10258
72	804	10217
73	813	10181
74	822	10143
75	831	10113
76	840	10074
77	849	10041
78	858	10006
79	867	9972
80	876	9943
81	885	9916
82	894	9885
83	903	9855
84	913	9837
85	924	9821
86	934	9811
87	944	9788
88	954	9766
89	964	9751
90	974	9732
91	984	9717
92	994	9701
93	1004	9683
94	1015	9672
95	1025	9654
96	1034	9634
97	1045	9618
98	1055	9601
99	1065	9589
100	1075	9577
101	1086	9562
102	1096	9547
103	1105	9527
104	1115	9507
105	1126	9496
106	1136	9484
107	1147	9473
108	1157	9459
109	1166	9437
110	1176	9425
111	1186	9404
112	1195	9387
113	1205	9370
114	1216	9358
115	1226	9348
116	1236	9328
117	1246	9315
118	1255	9294
119	1264	9272
120	1274	9255
121	1283	9234
122	1292	9218
123	1302	9198
124	1312	9186
125	1321	9169
126	1330	9148
127	1340	9129
128	1349	9109
129	1358	9091
130	1367	9069
131	1377	9054
132	1385	9034
133	1394	9014
134	1404	8998
135	1413	8980
136	1423	8968
137	1432	8949
138	1442	8933
139	1451	8915
140	1460	8899
141	1469	8881
142	1478	8861
143	1488	8849
144	1498	8833
145	1508	8824
146	1517	8806
147	1526	8786
148	1536	8775
149	1546	8764
150	1556	8753
151	1566	8739
152	1575	8723
153	1584	8707
154	1593	8689
155	1603	8675
156	1612	8656
157	1622	8645
158	1631	8628
159	1640	8612
160	1649	8598
161	1658	8580
